"","effect_size_eta","effect_size_gamma","mean_degree_sig","mean_distance_sig","mean_betweenness_sig","transitivity_sig","assortativity_sig","modularity_sig"
"1",0.1,0.1,0.04,0.12,0.12,0.09,0.08,0.03
"2",0.1,0.2,0.04,0.07,0.07,0.1,0.08,0.05
"3",0.1,0.5,0.06,0.05,0.05,0.07,0.05,0.05
"4",0.1,1,0.03,0.07,0.07,0.04,0.02,0.06
"5",0.1,1.5,0.06,0.05,0.05,0.07,0.02,0.06
"6",0.1,2,0.06,0.1,0.1,0.05,0.04,0.05
"7",0.1,2.5,0.04,0.06,0.06,0.02,0.07,0.04
"8",0.1,3,0.08,0.07,0.07,0.05,0.04,0.04
"9",0.2,0.1,0.08,0.09,0.09,0.05,0.03,0.06
"10",0.2,0.2,0.08,0.09,0.09,0.07,0.03,0.04
"11",0.2,0.5,0.04,0.07,0.07,0.06,0.05,0.03
"12",0.2,1,0.09,0.09,0.09,0.1,0.05,0.05
"13",0.2,1.5,0.08,0.08,0.08,0.07,0.05,0.05
"14",0.2,2,0.04,0.06,0.06,0.03,0.03,0.03
"15",0.2,2.5,0.06,0.08,0.08,0.06,0.05,0.09
"16",0.2,3,0.04,0.06,0.06,0.07,0.01,0.03
"17",0.5,0.1,0.07,0.07,0.07,0.08,0.05,0.02
"18",0.5,0.2,0.06,0.1,0.1,0.08,0.04,0.07
"19",0.5,0.5,0.03,0.03,0.03,0.06,0.06,0.04
"20",0.5,1,0.05,0.07,0.07,0.08,0.07,0.06
"21",0.5,1.5,0.03,0.06,0.06,0.06,0.05,0.06
"22",0.5,2,0.07,0.04,0.04,0.06,0.03,0.06
"23",0.5,2.5,0.05,0.04,0.04,0.02,0.04,0.06
"24",0.5,3,0.09,0.1,0.1,0.04,0.02,0.05
"25",1,0.1,0.05,0.06,0.06,0.04,0.06,0.06
"26",1,0.2,0.05,0.05,0.05,0.06,0.04,0.03
"27",1,0.5,0.05,0.06,0.06,0.08,0.1,0.04
"28",1,1,0.06,0.12,0.12,0.05,0.03,0.07
"29",1,1.5,0.06,0.08,0.08,0.06,0.07,0.03
"30",1,2,0.06,0.08,0.08,0.05,0.03,0.04
"31",1,2.5,0.09,0.07,0.07,0.06,0.08,0.04
"32",1,3,0.06,0.09,0.09,0.08,0.04,0.06
"33",1.5,0.1,0.05,0.09,0.09,0.08,0.02,0.04
"34",1.5,0.2,0.08,0.09,0.09,0.04,0.02,0.06
"35",1.5,0.5,0.05,0.06,0.06,0.04,0.04,0.05
"36",1.5,1,0.07,0.09,0.09,0.08,0.07,0.02
"37",1.5,1.5,0.07,0.09,0.09,0.06,0.06,0.02
"38",1.5,2,0.03,0.05,0.05,0.07,0.06,0.03
"39",1.5,2.5,0.04,0.04,0.04,0.05,0.04,0.06
"40",1.5,3,0.01,0.02,0.02,0.05,0.05,0.07
"41",2,0.1,0.09,0.11,0.11,0.07,0.08,0.05
"42",2,0.2,0.03,0.04,0.04,0.06,0.04,0.07
"43",2,0.5,0.07,0.07,0.07,0.05,0.1,0.03
"44",2,1,0.02,0.05,0.05,0.04,0.04,0.04
"45",2,1.5,0.07,0.05,0.05,0.08,0.01,0.07
"46",2,2,0.05,0.08,0.08,0.07,0.04,0.08
"47",2,2.5,0.07,0.05,0.05,0.11,0.02,0.06
"48",2,3,0.01,0.05,0.05,0.07,0.02,0.02
"49",2.5,0.1,0.05,0.08,0.08,0.1,0.04,0.04
"50",2.5,0.2,0.07,0.04,0.04,0.05,0.02,0.07
"51",2.5,0.5,0.07,0.09,0.09,0.06,0.04,0.06
"52",2.5,1,0.04,0.05,0.05,0.08,0.04,0.03
"53",2.5,1.5,0.06,0.06,0.06,0.06,0.06,0.04
"54",2.5,2,0.05,0.1,0.1,0.04,0.07,0.06
"55",2.5,2.5,0.06,0.06,0.06,0.08,0.1,0.02
"56",2.5,3,0.05,0.06,0.06,0.04,0.05,0.02
"57",3,0.1,0.05,0.05,0.05,0.05,0.01,0.01
"58",3,0.2,0.09,0.06,0.06,0.05,0.03,0.04
"59",3,0.5,0.07,0.08,0.08,0.06,0.05,0.05
"60",3,1,0.08,0.06,0.06,0.07,0.01,0.03
"61",3,1.5,0.04,0.07,0.07,0.07,0.05,0.04
"62",3,2,0.06,0.05,0.05,0.07,0.03,0.04
"63",3,2.5,0.07,0.02,0.02,0.07,0.05,0.03
"64",3,3,0.05,0.06,0.06,0.06,0.06,0.03
